,Number_PP,Name,Full_name,Owners_name,Kind,Price,Qty_stock,Remaining_amount
0,1,(o) Ламинат Symbio ,(o) Ламинат Symbio ,Symbio,Товар,188.96,446.84275999999994,16
1,2,(o) Ламинат Synchrotec,(o) Ламинат Synchrotec,Synchrotec,Товар,95.73,720.68925,6
2,3,(о) Коврики влаговпитывающие,(о) Коврики влаговпитывающие,Коврики влаговпитывающие,Товар,99.83,426.42527,58
3,4,(о) Ковролин Ideal,(о) Ковролин Ideal,Ковролин Ideal,Товар,93.28,648.60445,44
4,5,(о) Ковролин Синтелон (свотч),(о) Ковролин Синтелон (свотч),Ковролин СИНТЕЛОН (Сербия),Товар,52.33,905.4735800000001,65
5,6,(о) Ковролин Синтелон (свотч),(о) Ковролин Синтелон (свотч),ЯАРХИВ Ковровые покрытия СИНТЕЛОН,Товар,30.7,15964.0,520
6,7,(о) Ламинат ART 12мм 33класс,(о) Ламинат ART 12мм 33класс,EUROHOME,Товар,12.74,8918.0,700
7,10,(о) Ламинат Cranberry 8мм 33кл фаска,(о) Ламинат Cranberry 8мм 33кл фаска,Cranberry 8мм 33кл фаска,Товар,14.15,3962.0,280
8,11,(о) Ламинат Kompass снят с производства,(о) Ламинат Kompass снят с производства,Kompass снят с производства,Товар,94.75,651.6168200000001,25
9,12,(о) Ламинат LOFT 8мм 32класс,(о) Ламинат LOFT 8мм 32класс,EUROHOME,Товар,2.65,256.678,4
10,13,(о) Ламинат Look,(о) Ламинат Look,Look 7мм 32 класс ,Товар,96.86,510.49397999999997,6
11,14,(о) Ламинат Look 7/32 (свотч),(о) Ламинат Look 7/32 (свотч),Look 7мм 32 класс ,Товар,3.73,345.1286,85
12,15,(о) Ламинат MAJESTIC 8мм 33класс,(о) Ламинат MAJESTIC 8мм 33класс,EUROHOME,Товар,10.56,922.9736,32
13,16,(о) Ламинат Raspberry 8мм 33кл фаска,(о) Ламинат Raspberry 8мм 33кл фаска,Raspberry 8мм 33кл фаска,Товар,56.44,218.12302999999997,92
14,17,(о) ламинат Regatta,(о) ламинат Regatta,Regatta снят с производства 2016,Товар,25.47,718.18287,46
15,20,(о) ламинат RIVIERA,RIVIERA снят с производства,RIVIERA снят с производства,Товар,24.4,413.9928,52
16,21,(о) Ламинат Silver,(о) Ламинат Silver,Silver снят с производства,Товар,36.82,562.20692,84
17,22,(о) Ламинат WindRose снят с производства,(о) Ламинат WindRose снят с производства,WindRose снят с производства,Товар,9.61,522.5016,42
18,23,(о) Ламинат Германия,(о) Ламинат Германия,Ламинат Соммер,Товар,97.38,216.21034,8
19,24,(о) Ламинат Первая Сибирская 10мм 32класс,(о) Ламинат Первая Сибирская 10мм 32класс,Ламинат Тайга,Товар,5.3,536.2696,8
20,25,(о) Ламинат Первая Уральская 8мм 32класс,(о) Ламинат Первая Уральская 8мм 32класс,Ламинат Тайга,Товар,90.83,93.8447,19
21,26,(о) Линолеум Таркет (свотч),(о) Линолеум Таркет (свотч),ТАРКЕТ,Товар,63.9,965.60881,85
22,27,(о) Наклейки на образцы IDEAL,(о) Наклейки на образцы IDEAL,Ламинат IDEAL,Товар,44.3,190.8365,7
23,30,(о) Паркетная доска Дрезден (снят),(о) Паркетная доска Дрезден (снят),Дрезден (снят),Товар,92.8,538.49539,4
24,31,(о) Стык Аберхоф,(о) Стык Аберхоф,Аксессуары ПВХ для плинтуса,Товар,3.41,430.1466,3
25,32,(о)Искусственная трава (упаковка),(о)Искусственная трава (упаковка),Искусственная трава,Товар,95.32,517.4928,44
26,33,(о)Ламинат ATLAS 8мм 33класс,(о)Ламинат ATLAS 8мм 33класс,Ламинат ATLAS 8мм 33кл,Товар,3.96,796.3152,16
27,34,(о)Ламинат Cruise,(о)Ламинат Cruise 10мм 33класс,Cruise,Товар,67.1,791.53004,91
28,35,(о)Ламинат Cruise (свотч),(о)Ламинат Cruise 10мм 33класс (свотч),Cruise,Товар,1.57,910.1428,7
29,36,(о)Ламинат Derby Arteon 8мм 33 класс,(о)Ламинат Derby Arteon 8мм 33 класс,Derby Arteon,Товар,1.47,256.376,32
30,37,(о)Ламинат Form 8мм 33 класс,(о)Ламинат Form 8мм 33 класс,Form 8 мм 33 класс,Товар,88.17,424.37384000000003,8
31,40,(о)Ламинат Iceberg,(о)Ламинат Iceberg  34класс,Iceberg,Товар,89.45,669.59842,5
32,41,(о)Ламинат Iceberg (свотч),(о)Ламинат Iceberg 8.4мм 34класс (свотч),Iceberg,Товар,46.86,735.34442,1
33,42,(о)Ламинат Legend,(о)Ламинат Legend,Legend 33 снимается,Товар,44.79,210.9405,9
34,43,(о)Ламинат Legend NEW,(о)Ламинат Legend NEW,Legend 33 снимается,Товар,55.55,293.16276,15
35,44,(о)Ламинат Quality flooring 5мм 32 класс ,(о)Ламинат Quality flooring 5мм 32 класс ,SPC,Товар,95.5,367.34882999999996,35
36,45,(о)Ламинат Victory,(о)Ламинат Victory,Victory,Товар,79.54,496.39450999999997,84
37,46,(о)Ламинат Victory (свотч),(о)Ламинат Victory (свотч),Victory,Товар,2.74,304.832,96
38,47,(о)Ламинат Кронон Модерн 8мм 33класс,(о)Ламинат Кронон Модерн 8мм 33класс,Кронон Модерн 8мм 33класс,Товар,10.3,112.1153,6
39,50,(о)Ламинат Франция 7мм 32 класс,(о)Ламинат Франция 7мм 32 класс,Ламинат Соммер,Товар,96.4,171.16484,4
40,51,(о)Ламинт Storm,(о)Ламинт Storm,Storm,Товар,1.49,394.587,6
41,52,(о)Ламинт Storm V4 (свотч),(о)Ламинт Storm V4 (свотч),Storm,Товар,41.82,359.15013,38
42,53,(о)Паркетная доска Стокгольм NEW,(о)Паркетная доска Стокгольм NEW,Стокгольм,Товар,65.75,8153.0,124
43,54,(о)Паркетная доска Стокгольм снят,(о)Паркетная доска Стокгольм снят,Стокгольм,Товар,25.1,22590.0,900
44,55,(о)Паркетная доска Суоми,(о)Паркетная доска Суоми,Суоми,Товар,51.86,81.42,66
45,56,(о)Пробковый пол Basic,(о)Пробковый пол Basic,Aberhof,Товар,59.96,479.2872,84
46,57,(о)Пробковый пол Exclusive,(о)Пробковый пол Exclusive,Aberhof,Товар,21.57,165.3559,5
47,60,Aberhof,,Пробковый пол,Товар,42.68,122.5206,96
48,61,AmberWood,,Массивная доска,Товар,84.31,115.9695,65
49,62,Cranberry 8мм 33кл фаска,,Ламинат IDEAL,Товар,35.3,377.13308,1
50,63,Cruise,,Ламинат Aberhof,Товар,6.31,843.5319,33
51,64,Derby Arteon,,Ламинат Мостовдрев,Товар,87.41,507.44316,87
52,65,DUBART,,Ламинат Синтерос,Товар,65.47,335.21932000000004,45
53,66,Emerald снят с производства,,Ламинат Aberhof,Товар,70.84,287.20331,8
54,67,EUROHOME,,Ламинат Кроношпан,Товар,91.0,29484.0,324
55,70,Forbo,,Линолеум,Товар,39.2,959.37592,8
56,71,Form 8 мм 33 класс,,Ламинат IDEAL,Товар,12.27,812.9963,24
57,72,Iceberg,,Ламинат Aberhof,Товар,9.27,875.8111,25
