,Number_PP,Name,Full_name,Code,Unit_of_reconciliation,Additional_characteristics,Owners_name,Kind,Article,Weight,Accounting_characteristics,Storage_unit,VAT_rate,Service,Nomenclature_group,Sharto,Main_supplier,Main_supplier_object,Comment,Predefined,Price,Qty_stock,Remaining_amount,Currency
0,1,(o) Ламинат Symbio ,(o) Ламинат Symbio ,1920,м2,Нет,Symbio,Товар,1920,Нет,Да,м2,0.2,Нет,Товары,1619658683,,Нет,,Нет,188.96,446.84276,16,Руб
1,2,(o) Ламинат Synchrotec,(o) Ламинат Synchrotec,1921,м2,Нет,Synchrotec,Товар,1921,Нет,Да,м2,0.2,Нет,Товары,162653771,,Нет,,Нет,95.73,720.68925,6,Руб
2,3,(о) Коврики влаговпитывающие,(о) Коврики влаговпитывающие,2037,шт,Нет,Коврики влаговпитывающие,Товар,2037,Нет,Да,шт,0.2,Нет,Товары,162653771,ОПУС ТД ООО,Нет,,Нет,99.83,426.42527,58,Руб
3,4,(о) Ковролин Ideal,(о) Ковролин Ideal,2020,шт,Нет,Ковролин Ideal,Товар,2020,Нет,Да,шт,0.2,Нет,Товары,1993477958,ОПУС ТД ООО,Нет,,Нет,93.28,648.60445,44,Руб
4,5,(о) Ковролин Синтелон (свотч),(о) Ковролин Синтелон (свотч),2390,шт,Нет,Ковролин СИНТЕЛОН (Сербия),Товар,2390,Нет,Да,шт,0.2,Нет,Товары,1993477958,Монарх МБК-М ООО,Нет,,Нет,52.33,905.47358,65,Руб
5,6,(о) Ковролин Синтелон (свотч),(о) Ковролин Синтелон (свотч),2379,шт,Нет,ЯАРХИВ Ковровые покрытия СИНТЕЛОН,Товар,2379,Нет,Нет,шт,0.2,Нет,Товары,409885450,,Нет,,Нет,30.7,15964.0,520,Руб
6,7,(о) Ламинат ART 12мм 33класс,(о) Ламинат ART 12мм 33класс,2498,м2,Нет,EUROHOME,Товар,2498,Нет,Да,м2,0.2,Нет,Товары,409885450,МЕГАСТОР ООО,Нет,,Нет,12.74,8918.0,700,Руб
7,10,(о) Ламинат Cranberry 8мм 33кл фаска,(о) Ламинат Cranberry 8мм 33кл фаска,2127,м2,Нет,Cranberry 8мм 33кл фаска,Товар,2127,Нет,Да,м2,0.2,Нет,Товары,723886039,ОПУС ТД ООО,Нет,12 см,Нет,14.15,3962.0,280,Руб
8,11,(о) Ламинат Kompass снят с производства,(о) Ламинат Kompass снят с производства,1827,м2,Нет,Kompass снят с производства,Товар,1827,Нет,Да,м2,0.2,Нет,Товары,3238313230,ОПУС ТД ООО,Нет,,Нет,94.75,651.61682,25,Руб
9,12,(о) Ламинат LOFT 8мм 32класс,(о) Ламинат LOFT 8мм 32класс,2499,м2,Нет,EUROHOME,Товар,2499,Нет,Да,м2,0.2,Нет,Товары,3238313230,МЕГАСТОР ООО,Нет,,Нет,2.65,256.678,4,Руб
10,13,(о) Ламинат Look,(о) Ламинат Look,2223,м2,Нет,Look 7мм 32 класс ,Товар,2223,Нет,Да,м2,0.2,Нет,Товары,3238313230,,Нет,,Нет,96.86,510.49398,6,Руб
11,14,(о) Ламинат Look 7/32 (свотч),(о) Ламинат Look 7/32 (свотч),2328,шт,Нет,Look 7мм 32 класс ,Товар,2328,Нет,Нет,шт,0.2,Нет,Товары,4228778833,,Нет,,Нет,3.73,345.1286,85,Руб
12,15,(о) Ламинат MAJESTIC 8мм 33класс,(о) Ламинат MAJESTIC 8мм 33класс,2500,м2,Нет,EUROHOME,Товар,2500,Нет,Да,м2,0.2,Нет,Товары,4228778833,МЕГАСТОР ООО,Нет,,Нет,10.56,922.9736,32,Руб
13,16,(о) Ламинат Raspberry 8мм 33кл фаска,(о) Ламинат Raspberry 8мм 33кл фаска,2130,м2,Нет,Raspberry 8мм 33кл фаска,Товар,2130,Нет,Да,м2,0.2,Нет,Товары,3911875539,ОПУС ТД ООО,Нет,,Нет,56.44,218.12303,92,Руб
14,17,(о) ламинат Regatta,(о) ламинат Regatta,2008,м2,Нет,Regatta снят с производства 2016,Товар,2008,Нет,Да,м2,0.2,Нет,Товары,3911875539,ОПУС ТД ООО,Нет,,Нет,25.47,718.18287,46,Руб
15,20,(о) ламинат RIVIERA,RIVIERA снят с производства,1941,шт,Нет,RIVIERA снят с производства,Товар,1941,Нет,Да,шт,0.2,Нет,Товары,3911875539,,Нет,,Нет,24.4,413.9928,52,Руб
16,21,(о) Ламинат Silver,(о) Ламинат Silver,1868,м2,Нет,Silver снят с производства,Товар,1868,Нет,Да,м2,0.2,Нет,Товары,296243092,,Нет,,Нет,36.82,562.20692,84,Руб
17,22,(о) Ламинат WindRose снят с производства,(о) Ламинат WindRose снят с производства,1826,м2,Нет,WindRose снят с производства,Товар,1826,Нет,Да,м2,0.2,Нет,Товары,296243092,ОПУС ТД ООО,Нет,,Нет,9.61,522.5016,42,Руб
18,23,(о) Ламинат Германия,(о) Ламинат Германия,2029,м2,Нет,Ламинат Соммер,Товар,2029,Нет,Да,м2,0.2,Нет,Товары,340462586,ТАРКЕТТ РУС АО,Нет,,Нет,97.38,216.21034,8,Руб
